,num,url,title,play,view,author,pts
0,1,//www.bilibili.com/video/av80856554,【现 代 圣 杯 战 争】,370.9万,5554,野纯Cz,4768070
1,2,//www.bilibili.com/video/av80612818,【明日方舟】COSPLAY史上最大规模制作百人集结【萧影作品】,143.8万,1.0万,萧影殿下,4767027
2,3,//www.bilibili.com/video/av80582841,【才浅手工】魔刀千刃制作 究竟什么叫还原？看完你就明白了,128.4万,2.5万,才疏学浅的才浅,4742002
3,4,//www.bilibili.com/video/av81029518,【朱一旦】126 虽然凝视深渊，但依旧心向光明,275.9万,1.2万,朱一旦的枯燥生活,3249021
4,5,//www.bilibili.com/video/av80781225,拳王争霸× 菜鸡互啄√,239.0万,3.1万,老番茄,3062041
5,6,//www.bilibili.com/video/av81135857,2019年度佳片大盘点！最强的三部动画疯狂刷新历史记录！,128.4万,2.1万,LexBurner,2687096
6,7,//www.bilibili.com/video/av80929385,【完整版MV】腾格尔版的《芒种》终于来啦！完美诠释硬核柔情！,192.4万,1.4万,梦幻西游电脑版,2529106
7,8,//www.bilibili.com/video/av80922295,两个百万UP主疯狂喷起来了，为了争夺陪玩小姐姐？【国基网骗-小潮tEam四周年特别版】,88.2万,1.4万,小潮院长,1772215
8,9,//www.bilibili.com/video/av80898118,沙雕之极！愿意和你换这些情头的绝壁是真爱！,135.7万,1.0万,凉风Kaze,1757490
9,10,//www.bilibili.com/video/av80805503,试吃世界上体型最大的甲壳动物【杀人蟹】太过瘾了！,264.5万,2.4万,大祥哥来了,1609292
10,11,//www.bilibili.com/video/av80811796,【灯泡动画】企鹅物流上了贼船！她们能否脱身？,53.7万,4073,大大大灯泡,1599969
11,12,//www.bilibili.com/video/av80731101,【党妹】世界级优雅的Lolita妆发拍照一体教程！变身气质美人！三坑拍照教程之Lolita单人篇,114.8万,1.2万,机智的党妹,1579112
12,13,//www.bilibili.com/video/av80620658,住酒店的我一般是怎么醒的哈哈哈哈哈哈哈哈哈,122.7万,488,任性的KIMKILLS,1556672
13,14,//www.bilibili.com/video/av80622859,《 海 王 》,165.0万,4435,邱吖锅哇,1519369
14,15,//www.bilibili.com/video/av74928014,挡住猫头鹰的眼睛会发生什么,132.9万,702,瑞克丶张,1425997
15,16,//www.bilibili.com/video/av80956341,万字《黑暗骑士》纯干货影评，「漫改第一神作」是如何炼成的,56.0万,2256,努力的Lorre,1381351
16,17,//www.bilibili.com/video/av80849923,100部动漫角色联手拯救世界！！！,35.3万,6453,在下蕾姆有何贵干,1364118
17,18,//www.bilibili.com/video/av80873007,湖南妹子在日本挑战最辣拉面，被当地学生偷拍,131.6万,6499,绵羊料理,1297560
18,19,//www.bilibili.com/video/av80835870,【主播真会玩八卦篇】105：严审之下的巨龙撞击，好快的车!!!,91.1万,1.3万,长歌与小见见,1283491
19,20,//www.bilibili.com/video/av80807290,一颗800的米其林分子料理  龙吟草莓究竟是什么神仙小可爱（传说一颗800  实际更贵）,127.3万,1805,喝醋的anan酱,1273252
20,21,//www.bilibili.com/video/av80615414,【徐锦江】B站我来了！“硬核”圣诞老人鳌拜入驻了！,102.3万,6765,演员徐锦江,1267620
21,22,//www.bilibili.com/video/av80272497,他，是史上承受嘲笑最多的人。观看前请自备好纸巾！,103.5万,2111,迷人仄,1265507
22,23,//www.bilibili.com/video/av80565276,【Minecraft】一个看完能让你大喊舒服的视频......,47.1万,1082,撒多系,1240593
23,24,//www.bilibili.com/video/av80128837,治愈系日文版《好想爱这个世界啊》翻唱 「华晨宇」,35.1万,846,脱裤气,1220350
24,25,//www.bilibili.com/video/av80074265,【古力娜扎＆朱丹】灭掉世界的穷哈（歌剧2）,88.6万,3026,夜雨星繁y,1206627
25,26,//www.bilibili.com/video/av80559251,中国BOY超级白嫖怪！阴阳怪气陪你过圣诞节！,72.3万,1.4万,中国BOY超级大猩猩,1201777
26,27,//www.bilibili.com/video/av80702836,刺客伍六七《下山》粤语萌妹版,44.0万,986,雪霏岚岚,1183146
27,28,//www.bilibili.com/video/av80480032,圣 诞 鸡,53.0万,1883,修2,1179334
28,29,//www.bilibili.com/video/av80646177,《崩坏3》全家福动态立绘~哎？舰长你也出镜啦？大家看镜头！三二一 茄子~,28.1万,745,烻-ZL,1160995
29,30,//www.bilibili.com/video/av81008100,DC遗失的预告：比 奇 堡 黑 暗 骑 士,50.9万,572,君寻玩剪辑,1139576
30,31,//www.bilibili.com/video/av80682306,有这样粘人又粘手的小猫咪，还关女朋友什么事啊,88.3万,1459,喵星人到广州,1137451
31,32,//www.bilibili.com/video/av80853747,我失败了1000次才过去一关的游戏,79.2万,7442,楼上的老张,1128371
32,33,//www.bilibili.com/video/av80845224,六大门派围攻蔡徐坤,100.2万,4579,蜘蛛道长,1076783
33,34,//www.bilibili.com/video/av80791962,靠谱盘点69：2019年英雄联盟电竞梗考试，今年的电竞梗你了解多少？,104.3万,5.5万,靠谱电竞,1070544
34,35,//www.bilibili.com/video/av80865257,从《庆余年》看中国视频平台混战史：200家网站倒闭、上千亿人民币亏损，复盘腾讯、爱奇艺、优酷、b站行业寡头崛起背后的资本真相【中国商业史003】,71.7万,4939,冲浪普拉斯,1036539
35,36,//www.bilibili.com/video/av80837686,企   业   文   化,134.7万,2293,暴雨停了,1031276
36,37,//www.bilibili.com/video/av78698782,奥利给妙妙屋,62.6万,1222,枪弹轨迹,1030830
37,38,//www.bilibili.com/video/av80744229,外国人如何评价古力娜扎《穷哈》？美国妹子给你分析扎扎到底是不是塑料英语？,71.7万,2450,乔弗斯与玛丽莎,1023061
38,39,//www.bilibili.com/video/av80474667,【庆余年手书】范闲和二皇子的抖肩舞（by再临）,37.4万,905,再临临,982400
39,40,//www.bilibili.com/video/av80972580,2天4000块，我成功造出一颗星球！,70.5万,2612,雨哥到处跑,980597
40,41,//www.bilibili.com/video/av80936531,【宫廷奶酪】嘘！这是一份可以开店的秘方——又名糖蒸酥酪,31.6万,1192,淘米睡起床了,972600
41,42,//www.bilibili.com/video/av80476263,天呐！2019年都发生了啥！,62.6万,1530,倒悬的橘子,967239
42,43,//www.bilibili.com/video/av80518374,德国大众，黑中国人的钱，要中国人的命！,53.3万,2687,一鹿有车出品,921213
43,44,//www.bilibili.com/video/av80992454,可爱在性感面前一无是处？？？一秒学会可爱又不失性感的小动作！魅力提升～学到就是赚到！,85.0万,6670,白醋少女,914673
44,45,//www.bilibili.com/video/av80877109,papi酱不定期更新的抖音合集——12月,130.6万,2227,papi酱,914011
45,46,//www.bilibili.com/video/av80749227,LOL远古套路史诗增强：一个不用脑子的套路[有点骚东西],69.6万,1616,上海滩许Van强,896429
46,47,//www.bilibili.com/video/av81044863,被无数人嘲笑的奥力给，其实是他对抗命运的怒吼,77.0万,2278,老油条说,894447
47,48,//www.bilibili.com/video/av80982522,都是骗人的！打了5年终于有医生告诉我，打进去的玻尿酸不吸收，假货满天飞，你还敢打吗？,44.0万,5050,付曦冉,893869
48,49,//www.bilibili.com/video/av80737084,上官婉儿的私生活比武则天还混乱，死后连个全尸都没有,104.1万,2998,野拾叁,881624
