,num,url,title,play,view,author,pts
0,1,//bangumi.bilibili.com/anime/28615,刀剑神域 爱丽丝篇 异界战争,3873.4万,46.2万,491.3万,1211336
1,2,//bangumi.bilibili.com/anime/28623,我的英雄学院 第四季,3952.5万,37.1万,511.7万,887125
2,3,//bangumi.bilibili.com/anime/28320,命运-冠位指定 绝对魔兽战线 巴比伦尼亚,4108.9万,58.1万,335.9万,848709
3,4,//bangumi.bilibili.com/anime/27993,Ｄｒ．ＳＴＯＮＥ 石纪元,8066.6万,85.8万,226.3万,839595
4,5,//bangumi.bilibili.com/anime/28625,这个勇者明明超强却过分慎重,6777.5万,70.7万,325.8万,806452
5,6,//bangumi.bilibili.com/anime/28638,入间同学入魔了,2478.9万,25.9万,123.9万,659944
6,7,//bangumi.bilibili.com/anime/28590,我们无法一起学习！,1738.3万,28.0万,165.1万,591867
7,8,//bangumi.bilibili.com/anime/28542,动物狂想曲 / BEASTARS,3502.5万,49.1万,228.6万,489075
8,9,//bangumi.bilibili.com/anime/27959,炎炎消防队,4264.0万,49.0万,179.4万,385090
9,10,//bangumi.bilibili.com/anime/5978,博人传 火影忍者新时代,1.5亿,345.5万,190.2万,349318
10,11,//bangumi.bilibili.com/anime/28595,喜欢本大爷的竟然就你一个？,3088.8万,69.6万,162.4万,311745
11,12,//bangumi.bilibili.com/anime/28965,青春猪头少年不会梦到怀梦美少女,613.7万,24.8万,417.8万,288948
12,13,//bangumi.bilibili.com/anime/28634,超人高中生们即便在异世界也能从容生存！,1751.6万,39.5万,106.4万,288699
13,14,//bangumi.bilibili.com/anime/28516,碧蓝航线,1549.6万,40.0万,117.5万,266281
14,15,//bangumi.bilibili.com/anime/28543,刺客守则,1659.9万,25.6万,115.6万,244340
15,16,//bangumi.bilibili.com/anime/28618,高分少女 第二季,388.2万,4.9万,35.0万,230437
16,17,//bangumi.bilibili.com/anime/28544,我，不是说了能力要平均值么！,2947.7万,44.6万,159.7万,172094
17,18,//bangumi.bilibili.com/anime/26801,鬼灭之刃,3.3亿,400.4万,627.5万,167708
18,19,//bangumi.bilibili.com/anime/28627,星合之空,386.9万,6.1万,28.8万,152638
19,20,//bangumi.bilibili.com/anime/28617,非枪人生,715.6万,5.4万,62.0万,125184
20,21,//bangumi.bilibili.com/anime/28598,诸神的逆鳞,1427.1万,9.7万,210.7万,118301
21,22,//bangumi.bilibili.com/anime/28631,厨神小当家,595.9万,8.5万,41.6万,97885
22,23,//bangumi.bilibili.com/anime/25681,JOJO的奇妙冒险 黄金之风,2.1亿,231.7万,304.2万,95896
23,24,//bangumi.bilibili.com/anime/25739,关于我转生变成史莱姆这档事,2.1亿,329.6万,502.3万,87504
24,25,//bangumi.bilibili.com/anime/28628,歌舞伎町夏洛克,352.8万,3.6万,34.9万,84577
25,26,//bangumi.bilibili.com/anime/27395,冰海战记,1955.2万,23.1万,79.5万,83073
26,27,//bangumi.bilibili.com/anime/28593,高达创形者 再起,432.5万,4.6万,16.5万,80238
27,28,//bangumi.bilibili.com/anime/28616,银河英雄传说：全新命题  星乱,240.6万,2.8万,17.5万,78012
28,29,//bangumi.bilibili.com/anime/28624,厨病激发男孩,348.9万,5.7万,30.4万,67435
29,30,//bangumi.bilibili.com/anime/4349,中二病也要谈恋爱！恋,4643.7万,216.4万,134.0万,63867
30,31,//bangumi.bilibili.com/anime/28546,爱书的下克上：为了成为图书管理员不择手段！,456.2万,7.0万,36.2万,59597
31,32,//bangumi.bilibili.com/anime/6422,黑色四叶草,6466.9万,71.8万,119.6万,51344
32,33,//bangumi.bilibili.com/anime/5707,精灵宝可梦 日月,9345.1万,161.2万,67.1万,51139
33,34,//bangumi.bilibili.com/anime/2576,OVERLORD,2.1亿,284.6万,352.5万,47081
34,35,//bangumi.bilibili.com/anime/24596,OVERLORD Ⅲ,2.0亿,286.3万,409.0万,43340
35,36,//bangumi.bilibili.com/anime/28716,厨神小当家（中配）,225.2万,4.6万,7.1万,38254
36,37,//bangumi.bilibili.com/anime/21466,OVERLORDⅡ,2.0亿,294.7万,399.2万,37230
37,38,//bangumi.bilibili.com/anime/28639,梦幻之星 神谕篇,158.8万,7959,16.2万,36967
38,39,//bangumi.bilibili.com/anime/5800,小林家的龙女仆,1.9亿,464.3万,513.4万,35871
39,40,//bangumi.bilibili.com/anime/25733,青春猪头少年不会梦到兔女郎学姐,9795.1万,217.4万,419.5万,35272
40,41,//bangumi.bilibili.com/anime/23858,我的英雄学院 第三季,1.4亿,255.2万,291.1万,35083
41,42,//bangumi.bilibili.com/anime/28614,募恋英雄,151.9万,1.0万,14.0万,34558
42,43,//bangumi.bilibili.com/anime/28578,异界群敌 代码重组,269.2万,2.4万,27.5万,32243
43,44,//bangumi.bilibili.com/anime/6339,欢迎来到实力至上主义的教室,1.5亿,370.1万,539.8万,32023
44,45,//bangumi.bilibili.com/anime/688,邻座的怪同学,3107.6万,99.6万,120.3万,31181
45,46,//bangumi.bilibili.com/anime/5997,埃罗芒阿老师,1.3亿,695.7万,509.2万,30572
46,47,//bangumi.bilibili.com/anime/26274,辉夜大小姐想让我告白~天才们的恋爱头脑战~,1.3亿,290.2万,449.4万,27695
47,48,//bangumi.bilibili.com/anime/26284,盾之勇者成名录,1.6亿,271.4万,324.7万,25822
48,49,//bangumi.bilibili.com/anime/2580,干物妹！小埋,1.3亿,563.8万,350.4万,25114
49,50,//bangumi.bilibili.com/anime/3287,火影忍者 疾风传,1.0亿,245.3万,132.5万,24218
