,num,url,title,play,view,author,pts
0,1,//www.bilibili.com/video/av19315763,中国美女勇夺日本校花冠军，日本网友评论亮了【我住在这里的理由101】,26.4万,614,和之梦放送,221970
1,2,//www.bilibili.com/video/av78130119,《生活如沸》预告-社交篇,24.4万,207,i_纪录,212155
2,3,//www.bilibili.com/video/av77889222,221集 一套房2800万，走进黎巴嫩富人区的奢华生活,21.5万,1965,冒险雷探长,202869
3,4,//www.bilibili.com/video/av67255163,【生活如沸】预告 这个冬天，让生活与火锅一起沸腾！,20.9万,--,哔哩哔哩纪录片,196294
4,5,//www.bilibili.com/video/av78022492,《梦想改造家6》第9期：为脑瘫天才打造无障碍的家,19.3万,1418,综艺哔哔姬,164816
5,6,//www.bilibili.com/video/av78258067,【文曰速读】刘慈欣竟是外星人！我信了，你们呢？速读沙雕科幻《金陵十二区》原著：桂公梓,9.7万,692,文曰小强,111646
6,7,//www.bilibili.com/video/av16091118,【历史纪录片】中国通史-古代史【全180集】,6.6万,880,mascot0111,109044
7,8,//www.bilibili.com/video/av78142101,《我的军旅梦》第六集：上下马成难关，学员体力透支突然晕倒,9.7万,500,小央视频,86863
8,9,//www.bilibili.com/video/av70638973,憨豆先生的生活现状,6.8万,301,Me自由人,73689
9,10,//www.bilibili.com/video/av49050874,【箭厂】被裁员的年轻人，都经历了什么?,8.1万,349,箭厂视频,72475
10,11,//www.bilibili.com/video/av77400413,年费700的“三无”健身房里，藏着中年危机的终极解法,6.9万,183,Aha视频,61652
11,12,//www.bilibili.com/video/av62003379,【转】CCTV100集纪录片《中国通史》（全）,3.1万,936,sephirf,48999
12,13,//www.bilibili.com/video/av13416928,【CCTV纪录片】世界历史（100集全）【高清版】,1.9万,331,文史阁,44286
13,14,//www.bilibili.com/video/av76605610,我注册B站帐号啦,4.8万,38,EdStafford德爷,43126
14,15,//www.bilibili.com/video/av38401080,两只白头鹰突袭三只秃鹰，瞬间全军覆没，镜头拍下全过程,4.6万,9,奇闻奇趣猎奇,42291
